1000	
L000013155	L000012118
L000013155	L000012119
L000013155	L000013156
L000013155	L000013157
L000013155	L000013158
L000013155	L000013597
L000013597	L000006409
L000013151	L000013159
L000013159	L000009521
L000009521	L000009537
L000009521	L000009538
L000009521	L000012113
L000009521	L000012114
L000009521	L000012116
L000009521	PL_E4_US21
L000013159	L000013345
L000013159	L000013346
L000013159	L000013347
L000013159	L000013348
L000013159	L000013349
L000013159	L000013598
L000013598	L000006410
L000013598	L000006411
L000013151	L000013331
L000013331	L000013332
L000013331	L000013333
L000013331	L000013334
L000013331	L000013335
L000013331	L000013336
L000013151	L000013595
L000013595	L000013330
L000013330	L000013429
L000013595	L000012371
L000012371	L000012626
L000013151	L000013153
L000006295	L000013152
L000006295	L000006391
L000006391	L000006392
L000006391	L000006393
L000006393	L000006395
L000006393	L000006396
L000006393	L000012373
L000012373	L000006394
L000006391	L000006399
L000006399	L000006398
L000006399	L000006400
L000006399	L000006401
L000006391	L000013594
L000006295	L000006420
L000006420	L000006422
L000006420	L000006425
L000006420	L000006429
L000006420	L000006431
L000006420	L000006435
L000006420	L000011451
L000006420	L000006432
L000006295	L000006496
L000006496	L000006470
L000006470	L000006471
L000006470	L000006473
L000006470	L000006476
L000006470	L000006480
L000006470	L000006482
L000006470	L000006486
L000006470	L000006488
L000006470	L000006489
L000006470	L000006490
L000006470	L000011450
L000006496	L000006497
L000006497	L000006500
L000006496	L000011444
L000011444	L000006501
L000011444	L000011445
L000006496	L000013162
L000013162	L000006454
L000013162	L000006469
L000006496	L000013163
L000013163	L000006466
L000013163	L000006467
L000013163	L000012627
L000006295	L000011470
L000011470	L000012746
L000006295	L000013666
L000013666	L000013667
L000013666	L000013668
L000013666	L000006298
L000006298	L000006369
L000006369	L000006357
L000006369	L000006370
L000006369	L000006371
L000006369	L000006372
L000006369	L000006373
L000006369	L000006374
L000006369	L000006375
L000006369	L000006376
L000006369	L000011462
L000006369	L000012629
L000006298	L000006468
L000006298	L000013327
L000013666	L000013150
L000013150	L000006335
L000013150	L000006378
L000006378	L000006379
L000006378	L000006380
L000006378	L000006381
L000006378	L000006382
L000006378	L000006383
L000006378	L000006384
L000006378	L000006385
L000006378	L000006387
L000006378	L000006388
L000006378	L000006389
L000006378	L000006390
L000006378	L000012630
L000006378	L000012632
L000013150	L000013328
L000013150	L000013329
L000013128	L000006935
L000006935	L000006947
L000006947	L000006948
L000006947	L000006949
L000006947	L000007023
L000006947	L000007114
L000006935	L000006952
L000006952	L000006958
L000006952	L000006959
L000006952	L000007077
L000006952	L000007078
L000006935	L000009432
L000009432	L000009433
L000009432	L000009434
L000009432	L000009435
L000009432	L000012122
L000009432	L000012123
L000009432	L000012124
L000009432	L000012125
L000009432	L000012810
L000009432	L000012811
L000009432	L000012812
L000006935	L000011494
L000011494	L000007026
L000011494	L000007027
L000011494	L000007029
L000011494	L000011495
L000011495	L000007021
L000011495	L000007030
L000011495	L000012848
L000006935	L000011503
L000006935	L000013178
L000006935	L000013398
L000006935	L000006936
L000006936	L000006942
L000006942	L000006945
L000006942	L000006946
L000006936	L000006943
L000006936	L000006944
L000006936	L000007105
L000007105	L000007103
L000007105	L000007106
L000006936	L000012603
L000006935	L000007043
L000007043	L000007007
L000007007	L000007018
L000007007	L000007020
L000007007	L000007025
L000007007	L000011489
L000007007	L000012600
L000007007	L000012602
L000007043	L000007070
L000007043	L000007116
L000007043	L000011525
L000011525	L000007050
L000011525	L000007051
L000011525	L000012694
L000011525	L000012729
L000007043	L000011531
L000006935	L000011506
L000011506	L000007044
L000011506	L000007045
L000011506	L000007046
L000006935	L000013174
L000013174	L000006951
L000013174	L000007087
L000007087	L000007098
L000007087	L000007099
L000007087	L000012607
L000013174	L000007094
L000007094	L000007095
L000007094	L000007115
L000013174	L000013272
L000000000	L000013620
L000013620	L000013374
L000013620	L000013686
L000000000	L000013623
L000013623	L000011138
L000011138	L000011148
L000011148	L000011149
L000011138	L000011150
L000011150	L000011153
L000011150	L000011154
L000011138	L000013107
L000013107	L000011151
L000011138	L000013108
L000013108	L000011152
L000011138	L000013322
L000013623	L000011144
L000011144	L000011145
L000013623	L000011321
L000011321	L000011322
L000011322	L000013735
L000011322	L000013736
L000011322	L000013737
L000011322	L000013738
L000013738	L000011323
L000013738	L000011324
L000013738	L000011325
L000013738	L000011326
L000011322	L000013003
L000011321	L000011327
L000011321	L000011328
L000011328	L000011329
L000011329	L000011330
L000011329	L000011331
L000011328	L000011332
L000011332	L000011333
L000011321	L000011344
L000011344	L000011345
L000011345	L000011346
L000011344	L000011347
L000011347	L000011348
L000011347	L000011349
L000011321	L000011350
L000011321	L000011353
L000011353	L000011354
L000011321	L000011139
L000011139	L000013323
L000011139	L000013462
L000011139	L000013500
L000011321	L000013002
L000011321	L000013118
L000011321	L000007704
L000011321	L000013622
L000013622	L000013739
L000013622	L000013119
L000013119	L000011742
L000011321	L000012995
L000012995	L000013068
L000013068	L000011114
L000013068	L000011115
L000013068	L000011116
L000013068	L000011117
L000013068	L000011118
L000013068	L000011119
L000013068	L000011120
L000013068	L000011121
L000013068	L000011122
L000013068	L000011123
L000013068	L000012285
L000013068	L000012969
L000013068	L000012970
L000013068	L000012994
L000012995	L000013069
L000013069	L000012849
L000013069	L000012850
L000013069	L000012852
L000013069	L000012853
L000013069	L000012854
L000013069	L000012855
L000013069	L000012856
L000013069	L000012857
L000013069	L000012858
L000013069	L000012911
L000013069	L000013074
L000013069	L000013075
L000013069	L000013076
L000013069	L000013077
L000013069	L000013085
L000013069	L000013086
L000013623	L000013275
L000013275	L000013276
L000013275	L000013277
L000013275	L000011336
L000011336	L000012430
L000012430	L000011337
L000012430	L000012967
L000013275	L000013324
L000013275	L000013326
L000013326	L000013325
L000013326	L000013464
L000013326	L000013465
L000013326	L000013624
L000013326	L000013625
L000013326	L000013813
L000013275	L000013466
L000013466	L000013467
L000013466	L000013468
L000013466	L000013469
L000013469	L000013470
L000013469	L000013626
L000013469	L000013627
L000013469	L000013628
L000013466	L000013472
L000013466	L000013473
L000013466	L000013501
L000013275	L000012432
L000012432	L000012281
L000013275	L000012431
L000012431	L000012280
L000012431	L000012968
L000013623	L000013687
L000013687	L000011351
L000013687	L000013004
L000013687	L000011338
L000013623	L000013734
L000013734	L000013386
L000013386	L000011146
L000011146	L000011147
L000013734	L000011111
L000011111	L000011112
L000011111	L000011124
L000011124	L000011126
L000011124	L000011128
L000011124	L000011129
L000011124	L000011130
L000011124	L000011132
L000011124	L000011133
L000011124	L000012286
L000011124	L000012955
L000011124	L000012956
L000011124	L000012957
L000011124	L000012958
L000011124	L000012959
L000011124	L000012960
L000011111	L000011135
L000011111	L000012287
L000011111	L000012289
L000011111	L000012966
L000011111	L000012434
L000012434	L000012284
L000012434	L000012288
L000012434	L000012961
L000012434	L000012962
L000012434	L000012963
L000012434	L000012964
L000012434	L000012965
L000013623	L000013740
L000013740	L000013741
L000013741	L000013742
L000013741	L000013743
L000013741	L000013744
L000013741	L000013745
L000013741	L000013746
L000013741	L000013747
L000013741	L000013748
L000013741	L000013749
L000013741	L000013750
L000013741	L000013751
L000013740	L000013752
L000013752	L000013753
L000013740	L000013754
L000013754	L000013755
L000013754	L000013756
L000013740	L000013757
L000013757	L000013758
L000013757	L000013759
L000013757	L000013760
L000013757	L000013776
L000013757	L000013777
L000013757	L000013778
L000013740	L000013761
L000013761	L000013762
L000013761	L000013763
L000013763	L000013764
