1000	
L000012390	L000011652
L000012390	L000012653
L000012390	L000012656
L000012390	L000012662
L000013633	L000012391
L000012391	L000006977
L000012391	L000006982
L000012391	L000006983
L000012391	L000006986
L000012391	L000011653
L000012391	L000012661
L000011594	L000011663
L000011663	L000006870
L000011663	L000013634
L000013634	L000006872
L000013634	L000006876
L000013634	L000013291
L000011594	L000012325
L000012325	L000006900
L000012325	L000011598
L000012325	L000011599
L000012325	L000011600
L000012325	L000011603
L000012325	L000012572
L000012325	L000012576
L000012325	L000006358
L000012325	L000006364
L000012325	L000006367
L000012325	L000006368
L000012325	L000012529
L000012325	L000012721
L000012325	L000011616
L000012325	L000006339
L000012325	L000006341
L000012325	L000006893
L000012325	L000006925
L000012325	L000007306
L000012325	L000007324
L000012325	L000011596
L000012325	L000011597
L000012325	L000011618
L000011594	L000012326
L000012326	L000006834
L000012326	L000006835
L000012326	L000006836
L000012326	L000007321
L000012326	L000007331
L000012326	L000007332
L000012326	L000007344
L000012326	L000011607
L000012326	L000011608
L000012326	L000011609
L000012326	L000012711
L000012326	L000006351
L000012326	L000006360
L000012326	L000006361
L000012326	L000012535
L000012326	L000012739
L000012326	L000012740
L000012326	L000012741
L000012326	L000012742
L000012326	L000012743
L000012326	L000006860
L000012326	L000006861
L000012326	L000006862
L000012326	L000006866
L000012326	L000006867
L000012326	L000011614
L000012326	L000012569
L000012326	L000012659
L000012326	L000012712
L000012326	L000006319
L000012326	L000006320
L000012326	L000006321
L000012326	L000006322
L000012326	L000006323
L000012326	L000006326
L000012326	L000006327
L000012326	L000006331
L000012326	L000006333
L000012326	L000006334
L000012326	L000006346
L000012326	L000011459
L000012326	L000012530
L000012326	L000012531
L000012326	L000012532
L000012326	L000012716
L000012326	L000012717
L000012326	L000012720
L000012326	L000006340
L000012326	L000006919
L000011594	L000012327
L000012327	L000006926
L000012327	L000006930
L000012327	L000006932
L000012327	L000007337
L000012327	L000007338
L000012327	L000011605
L000012327	L000012574
L000012327	L000006318
L000012327	L000006342
L000012327	L000006343
L000012327	L000006347
L000012327	L000006359
L000012327	L000006362
L000012327	L000006363
L000012327	L000006365
L000012327	L000006366
L000012327	L000012584
L000012327	L000012657
L000012327	L000012719
L000012327	L000006929
L000012327	L000006931
L000012327	L000006933
L000012327	L000007309
L000012327	L000007312
L000012327	L000011617
L000012327	L000012580
L000012327	L000006880
L000012327	L000006881
L000012327	L000006883
L000012327	L000006884
L000012327	L000006886
L000012327	L000006887
L000012327	L000006922
L000012327	L000011601
L000012327	L000011602
L000012327	L000011613
L000012327	L000012570
L000012327	L000012571
L000012327	L000012577
L000012327	L000006324
L000012327	L000006328
L000012327	L000006329
L000012327	L000006330
L000012327	L000006332
L000011594	L000013517
L000013517	L000011615
L000013517	L000012575
L000013517	L000006338
L000006294	L000011664
L000011664	L000006770
L000011664	L000006831
L000011664	L000011665
L000011665	L000006752
L000011665	L000006753
L000011665	L000006773
L000011665	L000006774
L000011665	L000006775
L000011665	L000006776
L000011665	L000006777
L000011665	L000006778
L000011665	L000006779
L000011665	L000006781
L000011665	L000006782
L000011665	L000006783
L000011665	L000006784
L000011665	L000006785
L000011665	L000006786
L000011665	L000006800
L000011665	L000006803
L000011665	L000006804
L000011665	L000011666
L000011665	L000011667
L000011665	L000011668
L000011665	L000012568
L000011665	L000012637
L000011664	L000011673
L000011673	L000012396
L000012396	L000006755
L000012396	L000006758
L000012396	L000006759
L000012396	L000006767
L000012396	L000011674
L000012396	L000012549
L000011673	L000012397
L000012397	L000007537
L000012397	L000012550
L000012397	L000012557
L000011673	L000012398
L000012398	L000007535
L000012398	L000007536
L000012398	L000011675
L000012398	L000011676
L000012398	L000011678
L000012398	L000012562
L000012398	L000012566
L000012398	L000012709
L000011673	L000012399
L000012399	L000007521
L000011673	L000012400
L000012400	L000007532
L000011673	L000012401
L000012401	L000007534
L000011673	L000012402
L000012402	L000007533
L000011673	L000012559
L000011673	L000012642
L000011673	L000006296
L000006296	L000006297
L000011664	L000011682
L000011682	L000006812
L000011682	L000007013
L000011682	L000011686
L000011682	L000012403
L000012403	L000006802
L000012403	L000006806
L000012403	L000006808
L000012403	L000006813
L000011682	L000012404
L000012404	L000006807
L000012404	L000007559
L000012404	L000007560
L000012404	L000007570
L000011682	L000012405
L000012405	L000006809
L000012405	L000007557
L000012405	L000007563
L000012405	L000007567
L000012405	L000012561
L000012405	L000012564
L000011682	L000012406
L000012406	L000006970
L000012406	L000006971
L000012406	L000006973
L000012406	L000012552
L000012406	L000012556
L000012406	L000012560
L000012406	L000012563
L000011682	L000012407
L000012407	L000006972
L000012407	L000012554
L000012407	L000012641
L000011682	L000012408
L000012408	L000006805
L000012408	L000007555
L000012408	L000007568
L000012408	L000007571
L000012408	L000007572
L000012408	L000007573
L000012408	L000007574
L000012408	L000012551
L000012408	L000012558
L000012408	L000012640
L000011682	L000012555
L000011682	L000012565
L000011682	L000012638
L000011682	L000012736
L000011682	L000006353
L000011682	L000006356
L000011682	L000011457
L000011664	L000012639
L000011664	L000013564
L000013564	L000006312
L000013564	L000006354
L000013564	L000006355
L000013564	L000006502
L000013564	L000006503
L000011664	L000006307
L000011664	L000012392
L000012392	L000006830
L000012392	L000012547
L000012392	L000006315
L000011664	L000012393
L000012393	L000006795
L000012393	L000006796
L000012393	L000006797
L000012393	L000006798
L000012393	L000006799
L000012393	L000006810
L000012393	L000006311
L000012393	L000011461
L000011664	L000012394
L000012394	L000006815
L000012394	L000006816
L000012394	L000006817
L000012394	L000006818
L000012394	L000006819
L000012394	L000006820
L000012394	L000006821
L000012394	L000006822
L000012394	L000006823
L000012394	L000006824
L000012394	L000006825
L000012394	L000006827
L000012394	L000011672
L000012394	L000012548
L000012394	L000006308
L000012394	L000006309
L000012394	L000006310
L000012394	L000006313
L000012394	L000006314
L000012394	L000006316
L000012394	L000006317
L000012394	L000011460
L000012394	L000012533
L000012394	L000012631
L000012394	L000011464
L000011664	L000012395
L000012395	L000006790
L000012395	L000006791
L000012395	L000006792
L000012395	L000006793
L000012395	L000011671
L000012395	L000006336
L000012395	L000006337
