1000	
G000000000	G000000001
G000000001	G000000006
G000000006	G000000564
G000000564	G000000008
G000000006	G000000565
G000000565	G000000007
G000000565	G000000010
G000000001	G000000044
G000000044	G000000574
G000000574	G000000046
G000000574	G000001272
G000000044	G000000575
G000000575	G000000045
G000000575	G000000047
G000000001	G000000048
G000000048	G000000576
G000000576	G000000054
G000000576	G000000055
G000000055	G000001130
G000000055	G000001131
G000000576	G000000056
G000000576	G000000057
G000000576	G000000558
G000000048	G000000577
G000000577	G000000049
G000000577	G000000050
G000000577	G000000059
G000000577	G000000790
G000000790	L000010959
G000000790	L000010961
G000000790	L000010963
G000000790	L000010966
G000000790	L000010968
G000000790	L000010970
G000000790	L000010972
G000000790	L000010976
G000000790	L000010978
G000000790	L000010980
G000000790	L000010983
G000000790	L000010986
G000000790	L000010988
G000000790	L000010991
G000000790	L000010993
G000000790	L000010995
G000000790	L000010999
G000000790	L000011002
G000000790	L000011007
G000000790	L000011009
G000000790	L000011014
G000000790	L000011016
G000000790	L000011018
G000000790	L000011019
G000000001	G000000060
G000000060	G000000578
G000000578	G000000062
G000000578	G000001129
G000000060	G000000579
G000000579	G000000061
G000000579	G000000064
G000000579	G000000065
G000000001	G000000066
G000000066	G000000580
G000000580	G000000072
G000000580	G000000073
G000000580	G000001001
G000000580	G000001002
G000000580	G000001003
G000000580	G000000753
G000000066	G000000581
G000000581	G000000067
G000000581	G000000074
G000000581	G000000800
G000000800	L000010800
G000000800	L000010801
G000000800	L000010802
G000000800	L000010804
G000000800	L000010805
G000000800	L000010807
G000000800	L000010811
G000000800	L000010812
G000000800	L000010813
G000000800	L000010815
G000000800	L000011458
G000000800	L000012981
G000000001	G000000088
G000000088	G000000584
G000000584	G000000091
G000000584	G000000092
G000000584	G000000093
G000000584	G000000094
G000000584	G000000095
G000000584	G000000096
G000000584	G000000097
G000000584	G000000559
G000000584	G000001103
G000000584	G000001104
G000000584	G000001105
G000000584	G000001132
G000000088	G000000585
G000000585	G000000089
G000000585	G000000090
G000000585	G000000098
G000000098	L000008031
G000000585	G000000099
G000000585	G000000100
G000000585	G000000101
G000000585	G000000802
G000000802	L000010788
G000000802	L000010789
G000000802	L000010792
G000000802	L000010794
G000000802	L000010795
G000000802	L000010797
G000000802	L000010798
G000000802	L000012979
G000000001	G000000102
G000000102	G000000586
G000000586	G000000086
G000000586	G000000105
G000000586	G000000106
G000000586	G000000107
G000000586	G000000108
G000000586	G000000109
G000000586	G000000110
G000000586	G000000111
G000000586	G000000675
G000000586	G000000840
G000000840	G000000767
G000000840	G000000768
G000000840	G000000769
G000000840	G000000770
G000000840	G000000771
G000000840	G000000829
G000000840	G000000830
G000000840	G000000831
G000000586	G000001285
G000000102	G000000587
G000000587	G000000103
G000000587	G000000112
G000000587	G000000803
G000000803	L000011023
G000000803	L000011024
G000000803	L000011025
G000000803	L000011027
G000000803	L000011029
G000000803	L000011030
G000000803	L000011031
G000000803	L000011032
G000000803	L000011033
G000000803	L000011034
G000000803	L000011036
G000000803	L000012975
G000000803	L000012976
G000000803	L000012977
G000000803	L000012978
G000000803	L000012980
G000000001	G000000113
G000000113	G000000588
G000000588	G000000119
G000000588	G000000121
G000000588	G000000122
G000000588	G000000123
G000000588	G000000560
G000000588	G000000561
G000000588	G000000562
G000000588	G000000676
G000000588	G000001128
G000000113	G000000589
G000000589	G000001227
G000000589	G000000114
G000000589	G000000115
G000000589	G000000126
G000000589	G000000127
G000000589	G000000804
G000000804	L000010818
G000000804	L000010819
G000000804	L000010820
G000000804	L000010821
G000000804	L000010825
G000000804	L000010827
G000000804	L000010828
G000000804	L000010830
G000000804	L000010831
G000000804	L000010834
G000000804	L000010837
G000000804	L000010839
G000000804	L000010841
G000000804	L000010842
G000000804	L000010844
G000000804	L000010846
G000000804	L000010847
G000000804	L000010849
G000000804	L000010851
G000000804	L000010853
G000000804	L000010855
G000000804	L000010857
G000000804	L000010858
G000000804	L000010859
G000000804	L000010861
G000000804	L000010865
G000000804	L000010867
G000000804	L000010869
G000000804	L000010871
G000000804	L000010873
G000000804	L000010875
G000000804	L000012292
G000000804	L000012937
G000000001	G000000128
G000000128	G000000590
G000000590	G000000131
G000000590	G000000132
G000000590	G000000133
G000000590	G000000134
G000000590	G000000135
G000000590	G000001281
G000000590	G000001282
G000000590	G000001283
G000000590	G000001284
G000000128	G000000591
G000000591	G000000129
G000000591	G000000136
G000000591	G000000791
G000000791	L000011038
G000000791	L000011039
G000000791	L000011041
G000000791	L000011042
G000000791	L000011043
G000000791	L000012971
G000000001	G000000137
G000000137	G000000592
G000000592	G000000139
G000000137	G000000593
G000000593	G000000138
G000000593	G000000140
G000000001	G000000141
G000000141	G000000594
G000000141	G000000595
G000000595	G000000142
G000000595	G000000143
G000000595	G000000145
G000000595	G000000146
G000000595	G000000792
G000000792	L000009240
G000000792	L000011045
G000000792	L000012863
G000000792	L000012865
