1000	
L000009915	L000012194
L000012194	L000009920
L000012194	L000009927
L000012194	L000009929
L000009915	L000012450
L000012450	L000012913
L000009915	L000012451
L000012451	L000009918
L000009820	L000009932
L000009932	L000009933
L000009933	L000009934
L000009933	L000009935
L000009933	L000009936
L000009933	L000009937
L000009933	L000009938
L000009932	L000009939
L000009939	L000009940
L000009820	L000009941
L000009941	L000009942
L000009942	L000009944
L000009941	L000009948
L000009948	L000009943
L000009948	L000009945
L000009948	L000009947
L000009948	L000009949
L000009948	L000009950
L000009948	L000009951
L000009948	L000009952
L000009948	L000009954
L000009948	L000009955
L000009948	L000009956
L000009948	L000009957
L000009941	L000012191
L000012191	L000009735
L000012191	L000009946
L000012191	L000009953
L000012191	L000010286
L000012191	L000012121
L000012191	L000012942
L000009820	L000013437
L000013437	L000009230
L000009230	L000009231
L000009230	L000009232
L000009230	L000009233
L000013437	L000009234
L000009234	L000009235
L000009234	L000009236
L000009234	L000009238
L000009234	L000009340
L000009234	L000009344
L000009234	L000012526
L000009234	L000012527
L000013437	L000009239
L000013437	L000009241
L000009241	L000009242
L000009241	L000009243
L000009241	L000012528
L000013437	L000009244
L000009244	L000009245
L000009244	L000009246
L000013437	L000009247
L000009247	L000009248
L000009247	L000009249
L000013437	L000009250
L000009250	L000009251
L000009250	L000009252
L000013437	L000009253
L000009253	L000009254
L000009253	L000009255
L000013437	L000009256
L000009256	L000009257
L000009256	L000009258
L000013437	L000009259
L000009259	L000009260
L000009259	L000009261
L000013437	L000009262
L000009262	L000009263
L000009262	L000009264
L000013437	L000009265
L000009265	L000009266
L000009265	L000009267
L000013437	L000009268
L000009268	L000009269
L000013437	L000009270
L000009270	L000009271
L000009820	L000013438
L000009794	L000009958
L000009958	L000012908
L000009794	L000009959
L000009959	L000009960
L000009794	L000009963
L000009963	L000009964
L000009794	L000010057
L000010057	L000010058
L000010057	L000010059
L000010057	L000010060
L000010057	L000010061
L000009794	L000010065
L000010065	L000012230
L000010065	L000012231
L000010065	L000012232
L000010065	L000012233
L000010065	L000012234
L000010065	L000012235
L000009794	L000012341
L000012341	L000012212
L000012341	L000012213
L000009794	L000013436
L000009794	L000013439
L000013439	L000013441
L000013439	L000013442
L000013439	L000013443
L000013439	L000013444
L000009794	L000010045
L000010045	L000010046
L000010045	L000010047
L000010045	L000010048
L000010045	L000010049
L000010049	L000010050
L000010049	L000010051
L000010049	L000010053
L000010045	L000012190
L000012190	L000010054
L000012190	L000010055
L000012190	L000010056
L000009794	L000009362
L000009362	L000009363
L000009363	L000009364
L000009363	L000009365
L000009363	L000009366
L000009362	L000009367
L000009367	L000009368
L000009367	L000009370
L000009362	L000009371
L000009371	L000009372
L000009371	L000009373
L000009362	L000009374
L000009374	L000009375
L000009374	L000009376
L000009362	L000009377
L000009377	L000009378
L000009377	L000009379
L000009362	L000009380
L000009380	L000009381
L000009362	L000009382
L000009382	L000009383
L000009362	L000009384
L000009384	L000009385
L000009362	L000009386
L000009386	L000009387
L000009386	L000009388
L000009386	L000009369
L000009386	L000009390
L000009362	L000009389
L000009389	L000009391
L000009389	L000009392
L000009362	L000009393
L000009393	L000009394
L000009393	L000009395
L000009362	L000009396
L000009396	L000009397
L000009362	L000009398
L000009398	L000009399
L000009362	L000009400
L000009400	L000009401
L000009362	L000012182
L000009794	L000009222
L000009794	L000013728
L000013728	L000009997
L000009997	L000010006
L000010006	L000010007
L000010006	L000010008
L000009997	L000010013
L000010013	L000010014
L000010013	L000010015
L000010013	L000012216
L000009997	L000013431
L000009997	L000013432
L000013432	L000010009
L000010009	L000010010
L000010009	L000010011
L000010009	L000010012
L000013432	L000010016
L000010016	L000010017
L000010016	L000010018
L000009997	L000009998
L000009998	L000009999
L000009998	L000010000
L000009998	L000010001
L000009998	L000010002
L000009997	L000010003
L000010003	L000010004
L000010003	L000010005
L000013728	L000009229
L000009229	L000009272
L000009272	L000009273
L000009272	L000009274
L000009272	L000009275
L000009272	L000009276
L000009272	L000009277
L000009229	L000009278
L000009278	L000009279
L000009278	L000009280
L000009278	L000009281
L000009278	L000009282
L000009278	L000009339
L000009278	L000012524
L000009278	L000012525
L000009278	L000012845
L000009229	L000009283
L000009283	L000009284
L000009283	L000009285
L000009229	L000009286
L000009286	L000009287
L000009286	L000009288
L000009288	PL_E7_62B2
L000009288	PL_E7_62C6
L000009229	L000009289
L000009289	L000009290
L000009289	L000009291
L000009229	L000009292
L000009292	L000009293
L000009292	L000009294
L000009229	L000009295
L000009295	L000009296
L000009295	L000009297
L000009295	L000009298
L000009229	L000009299
L000009299	L000009300
L000009299	L000012183
L000009229	L000009301
L000009301	L000009302
L000009229	L000009303
L000009303	L000009304
L000009303	L000009305
L000009303	L000009309
L000009229	L000009306
L000009306	L000009307
L000009306	L000009308
L000009229	L000009310
L000009310	L000009311
L000009310	L000009313
L000009229	L000009319
L000009319	L000009320
L000009319	L000009321
L000009229	L000009322
L000009322	L000009323
L000009229	L000009324
L000009324	L000009325
L000013728	L000009971
L000013728	L000013434
L000013434	L000013435
L000013435	L000012459
L000013435	L000009985
L000013434	L000009975
L000009975	L000009983
L000009983	L000009984
L000009975	L000009989
L000009989	L000009990
L000009975	L000009993
L000009993	L000009994
L000009975	L000009995
L000009995	L000009996
L000009995	L000012207
L000009975	L000012208
L000012208	L000009974
L000009975	L000012460
L000009975	L000012461
L000012461	L000012209
L000009975	L000012462
L000012462	L000012210
L000012462	L000012211
L000009975	G000000877
L000009975	G000001030
L000009975	L000013690
L000009975	L000013691
L000009975	L000013692
L000013434	L000010019
L000010019	L000010022
L000013434	L000009978
L000009978	L000009979
L000009978	L000009980
L000009978	L000009981
L000009978	L000009982
L000013434	L000012219
L000012219	L000010020
L000012219	L000010031
L000013434	L000010042
L000010042	L000010036
L000010042	L000012472
L000010042	L000012789
L000010042	L000012790
L000010042	L000012473
L000010042	L000012474
L000010042	L000012802
L000013434	L000012217
L000012217	L000009992
L000013434	L000013731
L000013731	L000010037
L000013434	L000013732
L000013732	L000010039
L000013434	L000013733
L000013733	L000012221
L000013434	L000009966
L000009966	PL_E4_ZA02
L000013728	L000009795
L000009795	L000009797
L000009797	L000009798
L000009797	L000012223
L000009795	L000009799
L000009799	L000012225
L000009795	L000009801
L000009795	L000009802
L000009802	L000009803
L000009795	L000009805
L000009805	L000009806
L000009805	L000012226
L000009795	L000009807
L000009807	L000009808
L000009795	L000009810
L000009810	L000009811
L000009795	L000009812
L000009812	L000009813
L000009795	L000009814
L000009814	L000009815
L000009795	L000012229
L000012229	L000009800
L000012229	L000009809
L000009795	L000013729
L000013729	L000009817
L000013729	L000009818
L000009795	L000013730
L000013730	L000009819
L000013728	L000009969
L000009794	L000013796
L000013796	L000009961
L000009961	L000009962
L000013796	L000010062
L000010062	L000010063
L000009794	L000013797
L000009201	L000010066
L000010066	L000010067
L000010067	L000010068
L000010067	L000010073
L000009201	L000010230
L000010230	L000010231
L000010231	L000012142
L000010230	L000010418
L000010418	L000010419
L000010418	L000010420
L000010230	L000012129
L000010230	L000012140
L000009201	L000010574
L000010574	L000010575
L000010575	L000010576
L000010574	L000010577
L000010577	L000010578
L000010574	L000010579
L000010579	L000010580
L000010579	L000010581
L000010579	L000010582
L000010574	L000010583
L000010583	L000012238
L000010574	L000010585
L000010585	L000010586
L000010585	L000010587
L000010574	L000010590
L000010590	L000012237
L000010574	L000010592
L000010592	L000010593
L000010593	L000010594
L000010574	L000010619
L000010619	L000010620
L000010574	L000012241
L000009201	L000012243
L000009201	L000012244
L000012244	L000009203
L000012244	L000009204
L000012244	L000009205
L000012244	L000009206
L000012244	L000012245
L000012244	L000012246
L000012244	L000012247
L000009201	L000012989
L000009201	L000012990
L000009201	L000013415
L000013415	L000013416
L000013416	L000013423
L000013416	L000013424
L000013415	L000013417
L000013415	L000013418
L000013415	L000013419
L000013415	L000013420
L000013420	L000013425
L000013415	L000013421
L000013421	L000012366
L000012366	L000006577
L000012366	L000006581
L000012366	L000006584
L000012366	L000012683
L000013421	L000012367
L000012367	L000006579
L000013421	L000013499
L000009201	L000013422
L000009201	L000013445
L000013445	L000013446
L000013446	L000009642
L000009642	L000009643
L000009642	L000009644
L000009642	L000012098
L000009642	L000012099
L000009642	L000012100
L000009642	PL_E4_US43
L000013446	L000010252
L000010252	L000010253
L000010252	L000010254
L000010252	L000010255
L000010252	L000010256
L000010252	L000010257
L000010252	L000010258
L000010252	L000010259
L000010252	L000010260
L000010252	L000010261
L000010252	L000010262
L000010252	L000010263
L000010252	L000010264
L000010252	L000010265
L000010252	L000010266
L000010252	L000010267
L000010252	L000010268
L000010252	L000010269
L000010252	L000010270
L000010252	L000010271
L000010252	L000010272
L000010252	L000010273
L000013446	L000010364
L000010364	L000010365
L000010364	L000010366
L000010364	L000010367
L000010364	L000010368
L000010364	L000010369
L000010364	L000010370
L000010364	L000010371
L000010364	L000010372
L000010364	L000010373
L000010364	L000010374
L000010364	L000010375
L000010364	L000010376
L000010364	L000010377
L000010364	L000010378
L000010364	L000010379
L000010364	L000010380
L000010364	L000010381
L000010364	L000010606
L000010364	L000012130
L000010364	L000012131
L000010364	L000012132
L000010364	L000012133
L000010364	L000012134
L000010364	L000012135
L000010364	L000012136
L000010364	L000012137
L000010364	L000012138
L000010364	L000012139
L000013446	L000010421
L000010421	L000010422
L000010421	L000010423
L000010421	L000010424
L000010421	L000010425
L000010421	L000010426
L000010421	L000010427
L000010421	L000010428
L000010421	L000010429
L000010421	L000010430
L000010421	L000010431
L000010421	L000010432
L000010421	L000010433
L000010421	L000010434
L000010421	L000010435
L000010421	L000010436
L000010421	L000010437
L000010421	L000010438
L000010421	L000010439
L000010421	L000010440
L000010421	L000010441
L000010421	L000010442
L000010421	L000010443
L000010421	L000010444
L000010421	L000010445
L000010421	L000010446
L000010421	L000010447
L000010421	L000010448
L000010421	L000010449
L000010421	L000010450
L000010421	L000010451
L000010421	L000010452
L000010421	L000010453
L000010421	L000010454
L000010421	L000010455
L000010421	L000010456
L000010421	L000010457
L000010457	L000010243
L000010421	L000010458
L000010421	L000010459
L000010421	L000010460
L000010421	L000010461
L000010421	L000010462
L000010421	L000010463
L000010421	L000010464
L000010421	L000010465
L000010421	L000010466
L000010421	L000010467
L000010421	L000010468
L000010421	L000010469
L000010421	L000010470
L000010421	L000010471
L000010421	L000010472
L000010421	L000010473
L000010421	L000010474
L000010421	L000010475
L000010421	L000010476
L000010421	L000010477
L000010421	L000010478
L000010421	L000010479
L000010421	L000010480
L000010421	L000010481
L000010421	L000010482
L000010421	L000010483
L000013446	L000010179
L000010179	L000010180
L000010179	L000010181
L000010179	L000012167
L000010179	L000012904
L000010179	PL_B2_OHMI
L000013446	L000010185
L000010185	L000010186
L000010185	L000010187
L000010185	L000010188
L000010185	L000010189
L000010185	L000012171
L000010185	L000012899
L000010185	L000012900
L000010185	PL_E9_US04
L000013446	L000009506
L000009506	L000009507
L000009506	L000009508
L000009506	L000009509
L000009506	L000009510
L000009506	L000009511
L000009506	L000009512
L000009506	L000009513
L000009506	L000009514
L000009506	L000009515
L000009506	L000009516
L000009506	L000009517
L000009506	L000009518
L000009506	L000009519
L000009506	L000009520
L000009506	PL_B2_US25
L000013446	L000013790
L000013445	L000013447
L000013447	L000009469
L000009469	L000009470
L000009469	L000009471
L000009469	L000009472
L000009469	L000009473
L000009469	L000009474
L000009469	L000009475
L000009469	L000009476
L000009469	L000009477
L000009469	L000009478
L000009469	L000009479
L000009469	L000009480
L000009469	L000009481
L000009469	L000009482
L000009469	L000009483
L000009469	L000012909
L000009469	L000012910
L000013447	L000009611
L000009611	L000009612
L000009611	L000009613
L000009611	L000009614
L000009611	L000009615
L000009611	L000009616
L000009611	L000009617
L000009611	L000009618
L000009611	L000009619
L000009611	L000009620
L000009611	L000009621
L000009611	L000009622
L000009611	L000012110
L000013447	L000010182
L000010182	L000010183
L000010182	L000010184
L000010182	L000012168
L000010182	L000012169
L000010182	L000012898
L000010182	L000012902
L000010182	PL_B2_MW02
L000010182	L000013488
L000013488	L000012170
L000013447	L000010190
L000010190	L000012165
L000010190	PL_B2_SF01
L000010190	L000013477
L000013477	L000013478
L000013478	L000012919
L000013478	L000013484
L000013484	L000010194
L000013484	L000010195
L000013484	L000010196
L000013484	L000012918
L000013478	L000013485
L000013485	L000010200
L000013485	L000010202
L000013485	L000010205
L000013478	L000013486
L000013478	L000013487
L000013478	L000013489
L000013478	L000013490
L000013478	L000013600
L000013477	L000013479
L000013479	L000010193
L000013479	L000010198
L000013479	L000010199
L000013479	L000013480
L000013480	L000010192
L000013479	L000013481
L000013479	L000013491
L000013491	L000010201
