1000	
L000007721	L000012794
L000007721	L000013061
L000013166	L000007730
L000007730	L000013062
L000007709	L000013167
L000007709	L000013168
L000007709	L000013169
L000013169	L000005479
L000013169	L000005483
L000007596	L000007757
L000007757	L000005256
L000005256	L000005145
L000005256	L000005258
L000005256	L000012514
L000005256	L000013199
L000013199	L000012011
L000005256	L000013200
L000013200	L000005226
L000005256	L000013201
L000013201	L000005221
L000013201	L000005257
L000013201	L000005259
L000013201	L000005260
L000013201	L000012513
L000007757	L000005263
L000005263	L000005264
L000005263	L000005277
L000005277	L000005278
L000005277	L000005279
L000005277	L000012000
L000005277	L000012890
L000005277	L000012891
L000005277	L000012892
L000005263	L000013065
L000013065	L000012481
L000013065	L000012499
L000005263	L000009170
L000005263	L000009171
L000005263	L000013313
L000013313	L000005265
L000005265	L000005266
L000005265	L000005267
L000005265	L000005268
L000005265	L000005269
L000013313	L000005270
L000005270	L000005271
L000005270	L000005272
L000013313	L000005273
L000005273	L000005274
L000005273	L000005275
L000005273	L000005276
L000013313	L000005297
L000005263	L000013314
L000013314	L000005285
L000005285	L000005286
L000005285	L000005287
L000005285	L000005288
L000005285	L000012480
L000013314	L000005289
L000005289	L000005290
L000005289	L000005291
L000005289	L000005292
L000005289	L000005293
L000005289	L000005294
L000005289	L000005295
L000005289	L000005296
L000005263	L000013315
L000013315	L000009174
L000005263	L000013316
L000013316	L000005280
L000005280	L000005281
L000005280	L000005282
L000005280	L000005283
L000005280	L000005284
L000013316	L000009175
L000013316	L000009179
L000013316	L000013217
L000005263	L000013317
L000013317	L000009178
L000005263	L000013318
L000007757	L000007758
L000007758	L000013202
L000013202	L000007759
L000013202	L000007760
L000013202	L000007761
L000013202	L000007762
L000007758	L000013213
L000013213	L000005233
L000005233	L000005234
L000007757	L000007793
L000007793	L000005227
L000005227	L000005225
L000005227	L000005228
L000005227	L000005229
L000005227	L000005230
L000005227	L000005231
L000005227	L000005232
L000005227	L000005248
L000005227	L000012512
L000007793	L000005241
L000005241	L000005242
L000005241	L000005243
L000005241	L000005244
L000005241	L000012013
L000005241	L000012014
L000007793	L000005245
L000005245	L000005246
L000005245	L000005247
L000007793	L000013209
L000013209	L000012012
L000007793	L000013210
L000013210	L000007794
L000013210	L000007795
L000013210	L000011898
L000013210	L000011899
L000007757	L000007796
L000007796	L000011908
L000011908	L000007769
L000011908	L000007788
L000011908	L000007792
L000011908	L000009139
L000007796	L000013211
L000013211	L000007797
L000013211	L000007798
L000013211	L000007799
L000013211	L000007800
L000013211	L000011907
L000013211	L000012333
L000012333	L000012776
L000012333	L000012778
L000012333	L000012779
L000012333	L000013010
L000012333	L000013011
L000012333	L000013012
L000012333	L000013097
L000007757	L000007801
L000007757	L000013186
L000013186	L000005338
L000013186	L000012002
L000007757	L000013606
L000013606	L000013504
L000013504	L000005249
L000005249	L000005250
L000005249	L000005251
L000005249	L000005252
L000005249	L000005253
L000005249	L000005254
L000005249	L000005255
L000013504	L000007806
L000007806	L000007807
L000007806	L000007808
L000007806	L000007809
L000007757	L000013705
L000013705	L000007771
L000007771	L000007789
L000007789	L000007790
L000007789	L000007791
L000007771	L000013203
L000013203	L000007772
L000013203	L000007773
L000013203	L000007774
L000013203	L000007775
L000013203	L000007776
L000013203	L000007777
L000007771	L000013204
L000007771	L000013212
L000013212	L000007804
L000013212	L000007805
L000013705	L000013503
L000013503	L000005049
L000005049	L000005052
L000005049	L000012056
L000005049	L000012057
L000005049	L000012058
L000005049	L000012059
L000005049	L000012060
L000005049	L000012061
L000013503	L000005059
L000005059	L000005061
L000005059	L000012054
L000005059	L000012055
L000005059	L000012508
L000005059	L000012509
L000013503	L000005062
L000005062	L000012502
L000013503	L000012064
L000012064	L000005056
L000012064	L000012065
L000012064	L000012067
L000012064	L000012068
L000012064	L000012069
L000012064	L000012071
L000012064	L000012073
L000012064	L000012075
L000012064	L000012076
L000012064	L000012077
L000012064	L000012080
L000012064	L000012726
L000013503	L000012081
L000012081	L000005063
L000012081	L000012052
L000012081	L000012082
L000012081	L000012083
L000013503	L000012085
L000012085	L000012086
L000012085	L000012087
L000012085	L000012501
L000012085	L000012504
L000013503	L000012088
L000012088	L000005054
L000012088	L000005058
L000012088	L000012078
L000012088	L000012090
L000012088	L000012500
L000012088	L000012510
L000012088	L000012511
L000012088	L000012521
L000013503	L000012338
L000012338	L000013035
L000012338	L000013036
L000012338	L000013037
L000012338	L000013038
L000012338	L000013039
L000012338	L000013040
L000012338	L000013041
L000013503	L000013205
L000013205	L000007780
L000013205	L000007782
L000013205	L000007784
L000013205	L000011903
L000013205	L000011904
L000013205	L000012771
L000013503	L000013206
L000013206	L000007779
L000013206	L000007781
L000013206	L000007785
L000013206	L000011902
L000013503	L000013207
L000013207	L000007787
L000013503	L000013208
L000013208	L000007786
L000013208	L000011901
L000007757	L000013706
L000013706	L000007817
L000007817	L000007811
L000007811	L000007812
L000007811	L000007813
L000007811	L000007814
L000007811	L000007815
L000007811	L000007816
L000007811	L000012770
L000007817	L000011909
L000011909	L000007683
L000011909	L000007685
L000011909	L000007688
L000011909	L000007810
L000011909	L000012915
L000007817	L000005374
L000007817	L000005375
L000007817	L000005376
L000007817	L000005377
L000007817	L000012483
L000007817	L000005368
L000005368	L000005369
L000005368	L000005370
L000005368	L000005371
L000005368	L000005372
L000005368	L000012824
L000007817	L000007819
L000007817	L000007820
L000007817	L000007821
L000007817	L000007822
L000007817	L000007823
L000007817	L000007824
L000007817	L000007825
L000007817	L000007826
L000007817	L000007827
L000007817	L000007828
L000007817	L000007829
L000007817	L000007830
L000007817	L000007832
L000007817	L000007833
L000007817	L000013215
L000013215	L000011905
L000013215	L000011906
L000007817	L000013216
L000013216	L000005222
L000013216	L000005223
L000013216	L000005224
L000013216	L000005236
L000013216	L000005237
L000013216	L000005238
L000013216	L000005239
L000013216	L000005262
L000013706	L000013170
L000007596	L000007925
L000007925	L000007714
L000007714	L000007715
L000007714	L000007716
L000007714	L000007717
L000007714	L000007720
L000007714	L000011748
L000007714	L000013098
L000007925	L000007961
L000007961	L000007962
L000007962	L000007963
L000007962	L000007964
L000007962	L000007965
L000007961	L000007970
L000007970	L000007971
L000007970	L000007973
L000007961	L000007974
L000007974	L000007975
L000007961	L000007977
L000007977	L000007979
L000007977	L000007981
L000007977	L000007983
L000007977	L000007985
L000007977	L000007987
L000007961	L000007988
L000007961	L000007989
L000007989	L000007972
L000007989	L000007990
L000007961	L000007991
L000007991	L000007992
L000007991	L000007993
L000007991	L000007994
L000007991	L000011766
L000007961	L000007995
L000007961	L000012411
L000012411	L000011764
L000012411	L000011767
L000012411	L000011768
L000012411	L000011769
L000007961	L000012437
L000012437	L000007968
L000007925	L000007996
L000007996	L000007997
L000007925	L000007998
L000007998	L000008005
L000007998	L000008006
L000007998	L000008007
L000007998	L000008008
L000007998	L000008010
L000008010	L000008029
L000008029	L000008030
L000008029	L000008033
L000008029	L000008034
L000008029	L000008035
L000008029	L000008036
L000008029	L000012775
L000008010	L000008037
L000008037	L000008018
L000008037	L000008024
L000008037	L000008025
L000008037	L000008038
L000008037	L000008039
L000008037	L000008040
L000008037	L000008041
L000008037	L000008042
L000008037	L000008043
L000008037	L000008044
L000008037	L000008045
L000008037	L000011770
L000008010	L000011771
L000011771	L000008003
L000007998	L000008052
L000008052	L000011776
L000011776	L000008058
L000008052	L000011777
L000011777	L000008055
L000011777	L000008060
L000011777	L000008061
L000011777	L000008067
L000008052	L000011778
L000011778	L000008053
L000011778	L000008065
L000011778	L000008175
L000011778	L000011779
L000011778	L000012761
L000008052	L000011780
L000011780	L000011781
L000007998	L000008068
L000008068	L000008083
L000008083	L000008084
L000008083	L000008085
L000008083	L000008086
L000008083	L000008087
L000008083	L000011772
L000008083	L000011773
L000008068	L000008088
L000008088	L000008080
L000008088	L000008082
L000008088	L000008089
L000008088	L000008090
L000008088	L000008091
L000008088	L000008092
L000008088	L000008093
L000008088	L000008094
L000008088	L000008095
L000008088	L000008096
L000008088	L000008099
L000008068	L000011774
L000011774	L000011775
L000007998	L000008103
L000008103	L000011782
L000011782	L000008105
L000007998	L000008110
L000008110	L000011783
L000011783	L000008112
L000011783	L000008116
L000011783	L000008120
L000008110	L000011784
L000011784	L000011785
L000007998	L000011786
L000011786	L000011787
L000011787	L000008147
L000011787	L000008149
L000011787	L000008151
L000011787	L000008153
L000011787	L000008169
L000011787	L000008170
L000011787	L000008171
L000011787	L000008172
L000011787	L000008173
L000011787	L000008177
L000011787	L000008178
L000011787	L000008179
L000011787	L000008180
L000011787	L000008181
L000011787	L000008182
L000011787	L000008186
L000011787	L000008187
L000011787	L000008188
L000011787	L000008189
L000011787	L000008190
L000011787	L000008191
L000011787	L000008192
L000011787	L000008193
L000011787	L000008194
L000011787	L000008195
L000011787	L000008199
L000011787	L000008200
L000011787	L000008201
L000011787	L000008202
L000011787	L000008204
L000011787	L000008205
L000011787	L000008207
L000011787	L000008208
L000011787	L000008209
L000011787	L000008210
L000011787	L000008211
L000011787	L000008212
L000011787	L000008213
L000011787	L000008214
L000011787	L000008215
L000011787	L000012895
L000011786	L000011788
L000011788	L000008066
L000011788	L000008154
L000011788	L000008156
L000011788	L000008157
L000011788	L000008160
L000011788	L000008162
L000011788	L000008163
L000011788	L000008165
L000011788	L000008166
L000011788	L000008167
L000011788	L000008183
L000011788	L000008185
L000011788	L000012896
L000011786	L000011789
L000011789	L000008001
L000011789	L000008282
L000011789	L000008283
L000007998	L000011790
L000011790	L000011791
L000011791	L000008079
L000011791	L000008198
L000011791	L000008218
L000011791	L000008224
L000011791	L000008226
L000011791	L000008227
L000011791	L000008228
L000011791	L000008229
L000011791	L000008230
L000011791	L000008231
L000011791	L000008234
L000011791	L000008236
L000011791	L000008246
L000011791	L000008247
L000011791	L000011792
L000011790	L000011793
L000011793	L000008221
L000011793	L000008233
L000011790	L000011794
L000011790	L000012837
L000007998	L000011795
L000011795	L000011796
L000011796	L000008021
L000011796	L000008022
